epoch,accuracy,loss,val_accuracy,val_loss
0,0.9693236,0.15601776269992115,0.9846538,0.07122486583248247
1,0.9762277,0.09952633581178816,0.98761797,0.05237571850011591
2,0.9762275,0.09199046819510841,0.98761797,0.05134166474454105
3,0.97785014,0.08238941553868244,0.9884822,0.0712659776560031
4,0.97784996,0.07838787373889772,0.9884822,0.042242203239584344
5,0.97879976,0.07470380826081964,0.9873816,0.054864289549004755
6,0.97880054,0.07230174786657585,0.9873816,0.039071277941548035
7,0.97482073,0.08070540988542575,0.98950183,0.037590146574075334
8,0.97482115,0.08095354907435763,0.98950183,0.032053631998132916
9,0.9774,0.07051335261356911,0.9914357,0.024086724303560913
10,0.97740006,0.06708207019597012,0.9914357,0.02629444538615644
11,0.97799903,0.06131573868772591,0.9828513,0.048120152966293975
12,0.9781666,0.06223233272923267,0.98310214,0.039166385826501934
13,0.97907364,0.060738240471964675,0.98447305,0.03843698842429148
14,0.9799508,0.0573072211897076,0.9847932,0.03791365690585735
15,0.9772761,0.06353832658194221,0.99134576,0.02700831020174519
16,0.97774476,0.06246284424434179,0.9931897,0.02161566160957591
17,0.9791256,0.059165007696278166,0.9907657,0.028213766677799866
18,0.9796495,0.05891005029158691,0.9897356,0.027834475518466205
19,0.9785557,0.05686598992119343,0.9892952,0.031016392962192184
20,0.97937524,0.0553871754627572,0.9893295,0.03036462856180151
21,0.9828006,0.04959841602284932,0.9926547,0.023923162313712963
22,0.98295456,0.04777304252187946,0.9935293,0.02066357596322632
23,0.984379,0.04381054987573066,0.99072886,0.025698315566205564
24,0.9852567,0.041033279834036304,0.99084806,0.025130920031551797
25,0.9825838,0.05008229740477191,0.9919262,0.020096721567142595
26,0.9840382,0.04644587735052255,0.99287784,0.019855574803045783
27,0.98547643,0.040967537120489866,0.9946597,0.017298959433173878
28,0.9858365,0.03974076448530859,0.99339426,0.017713414997524525
29,0.98509896,0.04130498858800827,0.9909667,0.02651484875532333
30,0.9858581,0.039411210773928965,0.99408233,0.01697079463260707
31,0.9843919,0.04264455488970334,0.9908244,0.027461500432423236
32,0.9846835,0.04085834506113624,0.99090976,0.02820657929491972
33,0.986479,0.03891545748059215,0.9911667,0.026602516757782267
34,0.98647386,0.03808308360579584,0.99130046,0.02286632982079482
35,0.98357356,0.04542445510383885,0.9929414,0.021190705605840778
36,0.98387337,0.0434487648778952,0.99075145,0.03174297168297926
37,0.9868798,0.03662841893832528,0.9948431,0.015219938371694752
38,0.987,0.037078385329410324,0.99450934,0.01935950487086302
39,0.98726684,0.03572728643112583,0.9913991,0.025538168704375152
40,0.98762804,0.033988736421562145,0.9916795,0.02418934852357211
41,0.9865413,0.03807758838856045,0.9946411,0.016281409133284797
42,0.9872737,0.034655663061100996,0.9946009,0.017573249002407466
43,0.9881205,0.033035608918427786,0.99537945,0.01314494428182229
44,0.9882424,0.032235454245650816,0.99664104,0.01082853691696073
45,0.98636746,0.036694527727335766,0.99425477,0.014225715785732973
46,0.98696876,0.035180873926587176,0.9958106,0.013612794332334487
47,0.98829514,0.03209320642482506,0.99455607,0.01636768687482686
48,0.98850596,0.03082659238079717,0.9946693,0.015096127160200012
49,0.9875635,0.0358228839242112,0.9939122,0.017738606070747665
